KA,KU,Tier,Level,Number,Learning Outcome,,,
AR,Machine level representation of data,2,Familiarity,2,Explain the reasons for using alternative formats to represent numerical data.,,,
AR,Machine level representation of data,2,Familiarity,3,Describe how negative integers are stored in sign-magnitude and twos-complement representations.,,,
AR,Machine level representation of data,2,Familiarity,4,Explain how fixed-length number representations affect accuracy and precision.,,,
AR,Machine level representation of data,2,Familiarity,5,"Describe the internal representation of non-numeric data, such as characters, strings, records, and arrays.",,,
AR,Machine level representation of data,2,Usage,6,Convert numerical data from one format to another.,,,
AR,Machine level representation of data,2,Usage,7,Write simple programs at the assembly/machine level for string processing and manipulation.,,,
,,,,,,,,
AR,Assembly level machine organization,0,6,,,,,
AR,Assembly level machine organization,2,Familiarity,1,Explain the organization of the classical von Neumann machine and its major functional units.,,,
AR,Assembly level machine organization,2,Familiarity,2,"Describe how an instruction is executed in a classical von Neumann machine, with extensions for threads, multiprocessor synchronization, and SIMD execution.",,,
AR,Assembly level machine organization,2,Familiarity,3,"Describe instruction level parallelism and hazards, and how they are managed in typical processor pipelines.",,,
AR,Assembly level machine organization,2,Familiarity,4,Summarize how instructions are represented at both the machine level and in the context of a symbolic assembler.,,,
AR,Assembly level machine organization,2,Familiarity,5,Demonstrate how to map between high-level language patterns into assembly/machine language notations.,,,
AR,Assembly level machine organization,2,Familiarity,6,"Explain different instruction formats, such as addresses per instruction and variable length vs fixed length formats.",,,
AR,Assembly level machine organization,2,Familiarity,7,Explain how subroutine calls are handled at the assembly level.,,,
AR,Assembly level machine organization,2,Familiarity,8,Explain the basic concepts of interrupts and I/O operations.,,,
AR,Assembly level machine organization,2,Usage,9,Write simple assembly language program segments.,8/19/13,"Changed level, rewritten.",
AR,Assembly level machine organization,2,Usage,10,Show how fundamental high-level programming constructs are implemented at the machine-language level.,,,
,,,,,,,,
AR,Memory system organization and architecture,0,3,,,,,
AR,Memory system organization and architecture,2,Familiarity,1,"Identify the main types of memory technology (eg, SRAM, DRAM, Flash, magnetic disk) and their relative cost and performance.",8/19/13,Expanded.,
AR,Memory system organization and architecture,2,Familiarity,2,Explain the effect of memory latency on running time.,,,
AR,Memory system organization and architecture,2,Familiarity,3,"Describe how the use of memory hierarchy (cache, virtual memory) is used to reduce the effective memory latency.",,,
AR,Memory system organization and architecture,2,Familiarity,4,Describe the principles of memory management.,,,
AR,Memory system organization and architecture,2,Familiarity,5,Explain the workings of a system with virtual memory management.,,,
AR,Memory system organization and architecture,2,Usage,6,Compute Average Memory Access Time under a variety of cache and memory configurations and mixes of instruction and data references.,8/19/13,Expanded.,
,,,,,,,,
AR,Interfacing and communication,0,1,,,,,
AR,Interfacing and communication,2,Familiarity,1,Explain how interrupts are used to implement I/O control and data transfers.,,,
AR,Interfacing and communication,2,Familiarity,2,Identify various types of buses in a computer system.,,,
AR,Interfacing and communication,2,Familiarity,3,Describe data access from a magnetic disk drive.,,,
AR,Interfacing and communication,2,Familiarity,4,"Compare common network organizations, such as ethernet/bus, ring, switched vs routed.",,,
AR,Interfacing and communication,2,Familiarity,5,"Identify the cross-layer interfaces needed for multimedia access and presentation, from image fetch from remote storage, through transport over a communications network, to staging into local memory, and final presentation to a graphical display.",8/19/13,rewritten,
AR,Interfacing and communication,2,Familiarity,6,Describe the advantages and limitations of RAID architectures.,,,
,,,,,,,,
AR,Functional organization,0,0,,,,,
AR,Functional organization,3,Familiarity,1,Compare alternative implementation of datapaths.,,,
AR,Functional organization,3,Familiarity,2,Discuss the concept of control points and the generation of control signals using hardwired or microprogrammed implementations.,,,
AR,Functional organization,3,Familiarity,3,Explain basic instruction level parallelism using pipelining and the major hazards that may occur.,,,
AR,Functional organization,3,Usage,4,"Design and implement a complete processor, including datapath and control.",,,
AR,Functional organization,3,Assessment,5,"Determine, for a given processor and memory system implementation, the average cycles per instruction.",,,
,,,,,,,,
AR,Multiprocessing and alternative architectures,0,0,,,,,
AR,Multiprocessing and alternative architectures,3,Familiarity,1,Discuss the concept of parallel processing beyond the classical von Neumann model.,,,
AR,Multiprocessing and alternative architectures,3,Familiarity,2,Describe alternative parallel architectures such as SIMD and MIMD.,,,
AR,Multiprocessing and alternative architectures,3,Familiarity,3,Explain the concept of interconnection networks and characterize different approaches.,,,
AR,Multiprocessing and alternative architectures,3,Familiarity,4,Discuss the special concerns that multiprocessing systems present with respect to memory management and describe how these are addressed.,,,
AR,Multiprocessing and alternative architectures,3,Familiarity,5,"Describe the differences between memory backplane, processor memory interconnect, and remote memory via networks, their implications for access latency and impact on program performance.",8/19/13,rewritten,
,,,,,,,,
AR,Performance enhancements,0,0,,,,,
AR,Performance enhancements,3,Familiarity,1,Describe superscalar architectures and their advantages.,,,
AR,Performance enhancements,3,Familiarity,2,Explain the concept of branch prediction and its utility.,,,
AR,Performance enhancements,3,Familiarity,3,Characterize the costs and benefits of prefetching.,,,
AR,Performance enhancements,3,Familiarity,4,Explain speculative execution and identify the conditions that justify it.,,,
AR,Performance enhancements,3,Familiarity,5,Discuss the performance advantages that multithreading offered in an architecture along with the factors that make it difficult to derive maximum benefits from this approach.,,,
AR,Performance enhancements,3,Familiarity,6,Describe the relevance of scalability to performance.,,,
,,,,,,,,
CN,Introduction to Modeling and Simulation,1,0,,,8/19/13,Renamed KU,
CN,Introduction to Modeling and Simulation,1,Familiarity,1,Explain the concept of modeling and the use of abstraction that allows the use of a machine to solve a problem.,,,
CN,Introduction to Modeling and Simulation,1,Familiarity,2,"Describe the relationship between modeling and simulation, ie, thinking of simulation as dynamic modeling.",,,
CN,Introduction to Modeling and Simulation,1,Usage,3,"Create a simple, formal mathematical model of a real-world situation and use that model in a simulation.",,,
CN,Introduction to Modeling and Simulation,1,Familiarity,4,"Differentiate among the different types of simulations, including physical simulations, human-guided simulations, and virtual reality.",,,
CN,Introduction to Modeling and Simulation,1,Familiarity,5,Describe several approaches to validating models.,,,
CN,Introduction to Modeling and Simulation,1,Usage,6,Create a simple display of the results of a simulation.,8/19/13,new,
,,,,,,,,
CN,Modeling and Simulation,0,0,,,,,
CN,Modeling and Simulation,3,Familiarity,1,Explain and give examples of the benefits of simulation and modeling in a range of important application areas.,,,
CN,Modeling and Simulation,3,Usage,2,Demonstrate the ability to apply the techniques of modeling and simulation to a range of problem areas.,,,
CN,Modeling and Simulation,3,Familiarity,3,Explain the constructs and concepts of a particular modeling approach.,,,
CN,Modeling and Simulation,3,Assessment,4,Explain the difference between validation and verification of a model; demonstrate the difference with specific examples.,,,
CN,Modeling and Simulation,3,Assessment,5,Verify and validate the results of a simulation.,,,
CN,Modeling and Simulation,3,Assessment,6,"Evaluate a simulation, highlighting the benefits and the drawbacks.",,,
CN,Modeling and Simulation,3,Assessment,7,Choose an appropriate modeling approach for a given problem or situation.,,,
CN,Modeling and Simulation,3,Assessment,8,Compare results from different simulations of the same situation and explain any differences.,,,
CN,Modeling and Simulation,3,Assessment,9,Infer the behavior of a system from the results of a simulation of the system.,,,
CN,Modeling and Simulation,3,Assessment,10,Extend or adapt an existing model to a new situation.,,,
,,,,,,,,
CN,Processing,0,0,,,,,
CN,Processing,3,Familiarity,1,Explain the characteristics and defining properties of algorithms and how they relate to machine processing.,,,
CN,Processing,3,Assessment,2,Analyze simple problem statements to identify relevant information and select appropriate processing to solve the problem.,,,
CN,Processing,3,Familiarity,3,Identify or sketch a workflow for an existing computational process such as the creation of a graph based on experimental data.,,,
CN,Processing,3,Familiarity,4,Describe the process of converting an algorithm to machine-executable code.,,,
CN,Processing,3,Familiarity,5,Summarize the phases of software development and compare several common lifecycle models.,,,
CN,Processing,3,Familiarity,6,"Explain how data is represented in a machine Compare representations of integers to floating point numbers Describe underflow, overflow, round off, and truncation errors in data representations.",,,
CN,Processing,3,Usage,7,Apply standard numerical algorithms to solve ODEs and PDEs Use computing systems to solve systems of equations.,,,
CN,Processing,3,Familiarity,8,"Describe the basic properties of bandwidth, latency, scalability and granularity.",,,
CN,Processing,3,Familiarity,9,"Describe the levels of parallelism including task, data, and event parallelism.",,,
CN,Processing,3,Assessment,10,Compare and contrast parallel programming paradigms recognizing the strengths and weaknesses of each.,,,
CN,Processing,3,Familiarity,11,Identify the issues impacting correctness and efficiency of a computation.,,,
CN,Processing,3,Usage,12,"Design, code, test and debug programs for a parallel computation.",,,
,,,,,,,,
CN,Interactive Visualization,0,0,,,,,
CN,Interactive Visualization,3,Assessment,1,"Compare common computer interface mechanisms with respect to ease-of-use, learnability, and cost.",,,
CN,Interactive Visualization,3,Usage,2,"Use standard APIs and tools to create visual displays of data, including graphs, charts, tables, and histograms.",,,
CN,Interactive Visualization,3,Familiarity,3,Describe several approaches to using a computer as a means for interacting with and processing data.,,,
CN,Interactive Visualization,3,Assessment,4,Extract useful information from a dataset.,,,
CN,Interactive Visualization,3,Assessment,5,Analyze and select visualization techniques for specific problems.,,,
CN,Interactive Visualization,3,Familiarity,6,Describe issues related to scaling data analysis from small to large data sets.,,,
,,,,,,,,
CN,"Data, Information, and Knowledge",0,0,,,,,
CN,"Data, Information, and Knowledge",3,Assessment,1,"Identify all of the data, information, and knowledge elements and related organizations, for a computational science application.",,,
CN,"Data, Information, and Knowledge",3,Familiarity,2,Describe how to represent data and information for processing.,,,
CN,"Data, Information, and Knowledge",3,Familiarity,3,"Describe typical user requirements regarding that data, information, and knowledge.",,,
CN,"Data, Information, and Knowledge",3,Assessment,4,"Select a suitable system or software implementation to manage data, information, and knowledge.",,,
CN,"Data, Information, and Knowledge",3,Familiarity,5,"List and describe the reports, transactions, and other processing needed for a computational science application.",,,
CN,"Data, Information, and Knowledge",3,Assessment,6,"Compare and contrast database management, information retrieval, and digital library systems with regard to handling typical computational science applications.",,,
CN,"Data, Information, and Knowledge",3,Usage,7,"Design a digital library for some computational science users / societies, with appropriate content and services.",,,
,,,,,,,,
CN,Numerical Analysis,0,0,,,8/19/13,new,
CN,Numerical Analysis,3,Familiarity,1,"Define error, stability, machine precision concepts and the inexactness of computational approximations.",8/19/13,new,
CN,Numerical Analysis,3,Usage,2,"Implement Taylor series, interpolation, extrapolation, and regression algorithms for approximating functions.",8/19/13,new,
CN,Numerical Analysis,3,Usage,3,Implement algorithms for differentiation and integration.,8/19/13,new,
CN,Numerical Analysis,3,Usage,4,Implement algorithms for solving differential equations.,8/19/13,new,
,,,,,,,,
DS,"Sets, Relations, and Functions",4,0,,,,,
DS,"Sets, Relations, and Functions",1,Familiarity,1,"Explain with examples the basic terminology of functions, relations, and sets.",,,
DS,"Sets, Relations, and Functions",1,Usage,2,"Perform the operations associated with sets, functions, and relations.",,,
DS,"Sets, Relations, and Functions",1,Assessment,3,"Relate practical examples to the appropriate set, function, or relation model, and interpret the associated operations and terminology in context.",,,
,,,,,,,,
DS,Basic Logic,9,0,,,,,
DS,Basic Logic,1,Usage,1,Convert logical statements from informal language to propositional and predicate logic expressions.,,,
DS,Basic Logic,1,Usage,2,"Apply formal methods of symbolic propositional and predicate logic, such as calculating validity of formulae and computing normal forms.",,,
DS,Basic Logic,1,Usage,3,Use the rules of inference to construct proofs in propositional and predicate logic.,,,
DS,Basic Logic,1,Usage,4,"Describe how symbolic logic can be used to model real-life situations or applications, including those arising in computing contexts such as software analysis (eg, program correctness), database queries, and algorithms.",,,
DS,Basic Logic,1,Usage,5,"Apply formal logic proofs and/or informal, but rigorous, logical reasoning to real problems, such as predicting the behavior of software or solving problems such as puzzles.",,,
DS,Basic Logic,1,Familiarity,6,Describe the strengths and limitations of propositional and predicate logic.,,,
,,,,,,,,
DS,Proof Techniques,10,1,,,,,
DS,Proof Techniques,1,Familiarity,1,Identify the proof technique used in a given proof.,,,
DS,Proof Techniques,1,Usage,2,"Outline the basic structure of each proof technique (direct proof, proof by contradiction, and induction) described in this unit.",,,
DS,Proof Techniques,1,Usage,3,"Apply each of the proof techniques (direct proof, proof by contradiction, and induction) correctly in the construction of a sound argument.",,,
DS,Proof Techniques,1,Assessment,4,Determine which type of proof is best for a given problem.,,,
DS,Proof Techniques,1,Assessment,5,Explain the parallels between ideas of mathematical and/or structural induction to recursion and recursively defined structures.,,,
DS,Proof Techniques,1,Assessment,6,Explain the relationship between weak and strong induction and give examples of the appropriate use of each.,,,
DS,Proof Techniques,2,Familiarity,7,State the well-ordering principle and its relationship to mathematical induction.,,,
,,,,,,,,
DS,Basics of Counting,5,0,,,,,
DS,Basics of Counting,1,Usage,1,"Apply counting arguments, including sum and product rules, inclusion-exclusion principle and arithmetic/geometric progressions.",,,
DS,Basics of Counting,1,Usage,2,Apply the pigeonhole principle in the context of a formal proof.,,,
DS,Basics of Counting,1,Usage,3,"Compute permutations and combinations of a set, and interpret the meaning in the context of the particular application.",,,
DS,Basics of Counting,1,Usage,4,"Map real-world applications to appropriate counting formalisms, such as determining the number of ways to arrange people around a table, subject to constraints on the seating arrangement, or the number of ways to determine certain hands in cards (eg, a full house).",,,
DS,Basics of Counting,1,Usage,5,Solve a variety of basic recurrence relations.,,,
DS,Basics of Counting,1,Usage,6,Analyze a problem to determine underlying recurrence relations.,,,
DS,Basics of Counting,1,Usage,7,Perform computations involving modular arithmetic.,,,
,,,,,,,,
DS,Graphs and Trees,3,1,,,,,
DS,Graphs and Trees,1,Familiarity,1,"Illustrate by example the basic terminology of graph theory, and some of the properties and special cases of each type of graph/tree.",,,
DS,Graphs and Trees,1,Usage,2,"Demonstrate different traversal methods for trees and graphs, including pre, post, and in-order traversal of trees.",,,
DS,Graphs and Trees,1,Usage,3,"Model a variety of real-world problems in computer science using appropriate forms of graphs and trees, such as representing a network topology or the organization of a hierarchical file system.",,,
DS,Graphs and Trees,1,Usage,4,"Show how concepts from graphs and trees appear  in data structures, algorithms, proof techniques (structural induction), and counting.",,,
DS,Graphs and Trees,2,Usage,5,Explain how to construct a spanning tree of a graph.,,,
DS,Graphs and Trees,2,Usage,6,Determine if two graphs are isomorphic.,,,
,,,,,,,,
DS,Discrete Probability,6,2,,,,,
DS,Discrete Probability,1,Usage,1,Calculate probabilities of events and expectations of random variables for elementary problems such as games of chance.,,,
DS,Discrete Probability,1,Usage,2,Differentiate between dependent and independent events.,,,
DS,Discrete Probability,1,Usage,3,Identify a case of the binomial distribution and compute a probability using that distribution.,,,
DS,Discrete Probability,1,Usage,4,Apply Bayes theorem to determine conditional probabilities in a problem.,8/19/13,Revised.,
DS,Discrete Probability,1,Usage,5,Apply the tools of probability to solve problems such as the average case analysis of algorithms or analyzing hashing.,,,
DS,Discrete Probability,1,Usage,6,Compute the variance for a given probability distribution.,,,
DS,Discrete Probability,2,Usage,7,Explain how events that are independent can be conditionally dependent (and vice-versa)  Identify real-world examples of such cases.,,,
,,,,,,,,
GV,Fundamental Concepts,2,1,,,,,
GV,Fundamental Concepts,1,Familiarity,1,"Identify common uses of digital presentation to humans (eg, computer graphics, sound).",8/19/13,Revised.,
GV,Fundamental Concepts,1,Familiarity,2,"Explain in general terms how analog signals can be reasonably represented by discrete samples, for example, how images can be represented by pixels.",,,
GV,Fundamental Concepts,1,Familiarity,3,Explain how the limits of human perception affect choices about the digital representation of analog signals.,8/19/13,new,
GV,Fundamental Concepts,1,Usage,4,Construct a simple user interface using a standard API.,,,
GV,Fundamental Concepts,1,Familiarity,5,"Describe the differences between lossy and lossless image compression techniques, for example as reflected in common graphics image file formats such as  JPG, PNG, MP3, MP4, and GIF.",,,
GV,Fundamental Concepts,2,Familiarity,6,Describe color models and their use in graphics display devices.,,,
GV,Fundamental Concepts,2,Familiarity,7,"Describe the tradeoffs between storing information vs storing enough information to reproduce the information, as in the difference between vector and raster rendering.",8/19/13,Changed level,
GV,Fundamental Concepts,3,Familiarity,8,Describe the basic process of producing continuous motion from a sequence of discrete frames (sometimes called “flicker fusion”).,8/19/13,Changed level,
GV,Fundamental Concepts,3,Familiarity,9,Describe how double-buffering can remove flicker from animation.,,,
,,,,,,,,
GV,Basic Rendering,0,0,,,,,
GV,Basic Rendering,3,Familiarity,1,"Discuss the light transport problem and its relation to numerical integration ie, light is emitted, scatters around the scene, and is measured by the eye.",,,
GV,Basic Rendering,3,Familiarity,2,Describe the basic graphics pipeline and how forward and backward rendering factor in this.,,,
GV,Basic Rendering,3,Usage,3,Create a program to display 3D models of simple graphics images.,8/19/13,Revised.,
GV,Basic Rendering,3,Usage,4,"Derive linear perspective from similar triangles by converting points (x, y, z) to points (x/z, y/z, 1).",,,
GV,Basic Rendering,3,Usage,5,Obtain 2-dimensional and 3-dimensional points by applying affine transformations.,,,
GV,Basic Rendering,3,Usage,6,Apply 3-dimensional coordinate system and the changes required to extend 2D transformation operations to handle transformations in 3D.,,,
GV,Basic Rendering,3,Assessment,7,Contrast forward and backward rendering.,,,
GV,Basic Rendering,3,Familiarity,8,"Explain the concept and applications of texture mapping, sampling, and anti-aliasing.",,,
GV,Basic Rendering,3,Familiarity,9,Explain the ray tracing/rasterization duality for the visibility problem.,,,
GV,Basic Rendering,3,Usage,10,Implement simple procedures that perform transformation and clipping operations on simple 2-dimensional images.,,,
GV,Basic Rendering,3,Usage,11,"Implement a simple real-time renderer using a rasterization API (eg, OpenGL) using vertex buffers and shaders.",,,
GV,Basic Rendering,3,Assessment,12,Compare and contrast the different rendering techniques.,,,
GV,Basic Rendering,3,Assessment,13,Compute space requirements based on resolution and color coding.,,,
GV,Basic Rendering,3,Assessment,14,"Compute time requirements based on refresh rates, rasterization techniques.",,,
,,,,,,,,
GV,Geometric Modeling,0,0,,,,,
GV,Geometric Modeling,3,Usage,1,Represent curves and surfaces using both implicit and parametric forms.,8/19/13,Changed level,
GV,Geometric Modeling,3,Usage,2,Create simple polyhedral models by surface tessellation.,,,
GV,Geometric Modeling,3,Usage,3,Generate a mesh representation from an implicit surface.,8/19/13,Revised,
GV,Geometric Modeling,3,Usage,4,Generate a fractal model or terrain using a procedural method.,8/19/13,Revised,
GV,Geometric Modeling,3,Usage,5,Generate a mesh from data points acquired with a laser scanner.,8/19/13,Revised,
GV,Geometric Modeling,3,Usage,6,"Construct CSG models from simple primitives, such as cubes and quadric surfaces.",,,
GV,Geometric Modeling,3,Assessment,7,Contrast modeling approaches with respect to space and time complexity and quality of image.,,,
,,,,,,,,
GV,Advanced Rendering,0,0,,,,,
GV,Advanced Rendering,3,Assessment,1,Demonstrate how an algorithm estimates a solution to the rendering equation.,,,
GV,Advanced Rendering,3,Assessment,2,"Prove the properties of a rendering algorithm, eg, complete, consistent, and unbiased.",,,
GV,Advanced Rendering,3,Assessment,3,Analyze the bandwidth and computation demands of a simple algorithm.,,,
GV,Advanced Rendering,3,Usage,4,"Implement a non-trivial shading algorithm (eg, toon shading, cascaded shadow maps) under a rasterization API.",,,
GV,Advanced Rendering,3,Familiarity,5,Discuss how a particular artistic technique might be implemented in a renderer.,,,
GV,Advanced Rendering,3,Familiarity,6,Explain how to recognize the graphics techniques used to create a particular image.,,,
GV,Advanced Rendering,3,Usage,7,Implement any of the specified graphics techniques using a primitive graphics system at the individual pixel level.,,,
GV,Advanced Rendering,3,Usage,8,"Implement a ray tracer for scenes using a simple (eg, Phong’s) BRDF plus reflection and refraction.",,,
,,,,,,,,
GV,Computer Animation,0,0,,,,,
GV,Computer Animation,3,Usage,1,Compute the location and orientation of model parts using an forward kinematic approach.,,,
GV,Computer Animation,3,Usage,2,Compute the orientation of articulated parts of a model from a location and orientation using an inverse kinematic approach.,,,
GV,Computer Animation,3,Assessment,3,Describe the tradeoffs in different representations of rotations.,,,
GV,Computer Animation,3,Usage,4,Implement the spline interpolation method for producing in-between positions and orientations.,,,
